Guided mode log DATA time.struct_time(tm_year=2016, tm_mon=6, tm_mday=6, tm_hour=21, tm_min=38, tm_sec=1, tm_wday=0, tm_yday=158, tm_isdst=0)
time	 RC5VAL	 yaw_angle	 objposx	 objposy	 RC7VAL	 vx	 vy	 gain	 size	 roll	 pitch	 RC6VAL
1465249082.177293	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076538	0.020398	1400.000000
1465249082.836777	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076393	0.020954	1400.000000
1465249083.447778	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076242	0.021130	1400.000000
1465249084.682770	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076161	0.021200	1400.000000
1465249085.969563	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076216	0.021520	1400.000000
1465249086.475608	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075922	0.021392	1400.000000
1465249087.055222	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075906	0.021270	1400.000000
1465249087.529247	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075982	0.020989	1400.000000
1465249088.210044	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076115	0.020771	1400.000000
1465249088.739410	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076117	0.020624	1400.000000
1465249089.247684	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076087	0.020415	1400.000000
1465249089.832895	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076114	0.020301	1400.000000
1465249090.309263	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076386	0.020586	1400.000000
1465249091.035654	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076506	0.020860	1400.000000
1465249091.664268	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076568	0.020908	1400.000000
1465249092.312979	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076601	0.020772	1400.000000
1465249092.947325	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065001	0.032371	1400.000000
1465249093.551128	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.650596	-1.013111	1400.000000
1465249094.123852	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.092897	-0.993565	1400.000000
1465249094.851005	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.484943	-0.352175	1400.000000
1465249095.419971	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.740319	-0.041262	1400.000000
1465249096.839438	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.802413	0.031112	1400.000000
1465249098.057982	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.852234	0.134831	1400.000000
1465249098.854632	1400.000000	2.955361	347.278534	312.643829	1400.000000	-0.400000	0.400000	0.400000	5.295432	1.742123	0.093280	1400.000000
1465249099.528429	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.743870	0.081142	1400.000000
1465249100.242954	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.729286	0.086278	1400.000000
1465249100.843183	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.748319	0.066475	1400.000000
1465249101.424356	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.758917	0.069350	1400.000000
1465249102.136767	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.754532	0.067457	1400.000000
1465249102.655565	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.726067	0.050859	1400.000000
1465249103.312450	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.472263	0.882816	1400.000000
1465249104.007859	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.299529	1.210420	1400.000000
1465249104.509399	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.888079	0.553345	1400.000000
1465249105.192598	1400.000000	-0.214180	359.194489	411.876099	1400.000000	-0.400000	-0.400000	0.400000	23.956186	-2.720254	0.494910	1400.000000
1465249105.838281	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.424035	0.523798	1400.000000
1465249106.414894	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.060622	0.385851	1400.000000
1465249107.141556	1400.000000	0.092396	309.811157	263.846771	1400.000000	0.400000	-0.400000	0.400000	9.961679	-1.912431	0.053754	1400.000000
1465249107.727447	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.733870	0.104370	1400.000000
1465249108.278256	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.686975	0.093573	1400.000000
