Guided mode log DATA time.struct_time(tm_year=2016, tm_mon=6, tm_mday=6, tm_hour=21, tm_min=31, tm_sec=32, tm_wday=0, tm_yday=158, tm_isdst=0)
time	 RC5VAL	 yaw_angle	 objposx	 objposy	 RC7VAL	 vx	 vy	 gain	 size	 roll	 pitch	 RC6VAL
1465248694.634643	1400.000000	0.525883	118.178436	40.909653	1400.000000	0.400000	-0.400000	0.400000	34.607029	0.062753	0.008131	1400.000000
1465248695.476376	1400.000000	0.523996	563.694336	33.847813	1400.000000	-0.400000	0.400000	0.400000	34.072918	0.061230	0.006378	1400.000000
1465248696.058508	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060295	0.004927	1400.000000
1465248697.064207	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060093	0.004484	1400.000000
1465248697.990494	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059864	0.003803	1400.000000
1465248699.077200	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059961	0.003346	1400.000000
1465248699.609395	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060021	0.003181	1400.000000
1465248700.125042	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060551	0.003560	1400.000000
1465248700.845052	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060380	0.004169	1400.000000
1465248701.369188	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060940	0.003903	1400.000000
1465248701.888818	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061936	0.004503	1400.000000
1465248702.543130	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061536	0.004618	1400.000000
1465248703.093735	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061644	0.004814	1400.000000
1465248703.623785	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061327	0.004265	1400.000000
1465248704.167659	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061122	0.004733	1400.000000
1465248704.758006	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061003	0.004640	1400.000000
1465248705.463879	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060562	0.006531	1400.000000
1465248706.122862	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090087	0.086527	1400.000000
1465248706.718628	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.376544	0.222489	1400.000000
1465248707.326707	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.848331	0.217718	1400.000000
1465248708.194579	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.414044	-0.071440	1400.000000
1465248708.738216	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.416161	-0.123801	1400.000000
1465248710.115220	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.425657	-0.130436	1400.000000
1465248711.399895	1400.000000	-0.323505	244.723099	167.129425	1400.000000	-0.400000	-0.400000	0.400000	9.799424	-1.442723	-0.125533	1400.000000
1465248712.008949	1400.000000	-0.226087	320.086670	314.579987	1400.000000	0.400000	-0.400000	0.400000	5.678665	-1.431802	-0.120334	1400.000000
1465248712.756980	1400.000000	-0.165944	238.310776	377.155731	1400.000000	0.400000	0.400000	0.400000	12.703245	-1.444215	-0.108734	1400.000000
1465248713.371982	1400.000000	-0.122400	347.631683	314.031311	1400.000000	0.400000	0.400000	0.400000	6.054722	-1.455002	-0.108792	1400.000000
1465248713.962964	1400.000000	-0.102384	230.281250	383.515625	1400.000000	-0.400000	-0.400000	0.400000	7.208974	-1.461361	-0.109012	1400.000000
1465248714.695804	1400.000000	-0.070960	316.312866	316.161255	1400.000000	-0.400000	-0.400000	0.400000	7.953986	-1.464318	-0.106048	1400.000000
1465248715.307238	1400.000000	-0.040440	223.075760	401.025238	1400.000000	0.400000	0.400000	0.400000	7.246463	-1.466047	-0.104748	1400.000000
1465248715.910843	1400.000000	-0.017143	276.931183	316.195709	1400.000000	0.400000	-0.400000	0.400000	5.523948	-1.465877	-0.105515	1400.000000
1465248716.627849	1400.000000	-0.005565	317.489868	322.281158	1400.000000	0.400000	0.400000	0.400000	6.625109	-1.467509	-0.105945	1400.000000
1465248717.174791	1400.000000	0.027474	322.227570	320.618469	1400.000000	-0.400000	-0.400000	0.400000	7.261000	-1.467097	-0.106061	1400.000000
1465248717.829896	1400.000000	0.036297	321.363129	316.470917	1400.000000	-0.400000	-0.400000	0.400000	6.612936	-1.468879	-0.103529	1400.000000
1465248718.493885	1400.000000	0.054621	322.909271	318.350006	1400.000000	0.400000	0.400000	0.400000	6.057138	-1.458951	-0.103668	1400.000000
1465248719.097779	1400.000000	0.042792	322.342896	316.771942	1400.000000	-0.400000	0.400000	0.400000	6.262638	-1.458886	-0.129110	1400.000000
1465248719.715140	1400.000000	0.050592	321.637268	316.892151	1400.000000	-0.400000	-0.400000	0.400000	7.532965	-1.571414	-0.156432	1400.000000
1465248720.512280	1400.000000	0.020942	320.776215	311.607208	1400.000000	0.400000	-0.400000	0.400000	5.858610	-1.625964	-0.180836	1400.000000
1465248721.807743	1400.000000	0.029765	324.700348	319.821564	1400.000000	-0.400000	0.400000	0.400000	5.914192	-1.698578	-0.174875	1400.000000
1465248723.444318	1400.000000	-0.011080	281.275665	345.051910	1400.000000	-0.400000	-0.400000	0.400000	8.234469	-1.667980	-0.131071	1400.000000
1465248723.991660	1400.000000	0.139864	182.313721	416.250977	1400.000000	-0.400000	-0.400000	0.400000	5.360616	-1.642236	-0.137267	1400.000000
1465248724.798462	1400.000000	0.201437	189.697525	464.753082	1400.000000	0.400000	0.400000	0.400000	5.274350	-1.593295	-0.143412	1400.000000
1465248725.454106	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.553171	-0.174839	1400.000000
1465248726.123479	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.526617	-0.173424	1400.000000
1465248726.817687	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.525916	-0.175641	1400.000000
1465248727.413329	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.519058	-0.180260	1400.000000
1465248728.004684	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.511330	-0.185392	1400.000000
1465248728.639168	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.507128	-0.180530	1400.000000
1465248729.156864	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.487345	-0.080216	1400.000000
1465248729.770024	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.495887	-0.046464	1400.000000
1465248730.466775	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1.555758	-0.067492	1400.000000
1465248731.011714	1400.000000	0.066907	382.175781	344.648438	1400.000000	0.400000	0.400000	0.400000	5.769504	-1.603241	-0.064884	1400.000000
