Guided mode log DATA time.struct_time(tm_year=2016, tm_mon=6, tm_mday=6, tm_hour=21, tm_min=49, tm_sec=43, tm_wday=0, tm_yday=158, tm_isdst=0)
time	 RC5VAL	 yaw_angle	 objposx	 objposy	 RC7VAL	 vx	 vy	 gain	 size	 roll	 pitch	 RC6VAL
1465249784.109947	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101463	0.042620	1400.000000
1465249784.702280	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.100092	0.042454	1400.000000
1465249785.394967	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.097901	0.041815	1400.000000
1465249786.979403	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.096065	0.041046	1400.000000
1465249788.143396	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094549	0.040638	1400.000000
1465249788.745351	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094251	0.040662	1400.000000
1465249789.252947	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094520	0.040530	1400.000000
1465249789.738478	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.098743	0.038866	1400.000000
1465249790.450723	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.124996	0.252958	1400.000000
1465249790.950546	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.273956	-0.021242	1400.000000
1465249791.548346	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.584477	-0.026417	1400.000000
1465249792.239951	1400.000000	2.564265	291.528015	368.738953	1400.000000	-0.400000	-0.400000	0.400000	8.201035	2.713517	-0.041051	1400.000000
1465249792.709214	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.849343	-0.088687	1400.000000
1465249793.316402	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.932264	-0.143317	1400.000000
1465249793.965433	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.967377	-0.146361	1400.000000
1465249794.558515	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.999012	-0.140174	1400.000000
1465249795.238328	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.018836	-0.135595	1400.000000
1465249795.863125	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.025086	-0.134572	1400.000000
1465249796.504979	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.030884	-0.132919	1400.000000
1465249797.225258	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.036127	-0.131864	1400.000000
1465249798.015015	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.037093	-0.130991	1400.000000
1465249799.089043	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.037156	-0.130826	1400.000000
1465249800.390649	0.000000	0.000000	-566.000000	-566.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.034643	-0.131593	1400.000000
1465249800.934254	1400.000000	1.983467	215.475449	345.946747	1400.000000	0.400000	-0.400000	0.400000	21.136217	3.032629	-0.132841	1400.000000
1465249801.529685	1400.000000	1.974682	232.260468	344.351257	1400.000000	0.400000	0.400000	0.400000	16.022589	3.031530	-0.133680	1400.000000
1465249802.119733	1400.000000	1.967167	221.590805	344.574066	1400.000000	-0.400000	0.400000	0.400000	21.441862	3.031662	-0.134658	1400.000000
1465249802.728841	1400.000000	1.959255	221.199814	345.955658	1400.000000	-0.400000	-0.400000	0.400000	15.413671	3.032019	-0.135669	1400.000000
1465249803.289067	1400.000000	1.956481	217.500763	344.928314	1400.000000	0.400000	-0.400000	0.400000	16.307917	3.030882	-0.135858	1400.000000
1465249804.078629	1400.000000	1.948326	222.248535	343.509094	1400.000000	0.400000	0.400000	0.400000	26.253477	3.030215	-0.136414	1400.000000
1465249804.643578	1400.000000	1.940631	216.790649	345.121948	1400.000000	-0.400000	-0.400000	0.400000	18.897175	3.030083	-0.136951	1400.000000
1465249805.439816	1400.000000	1.934506	216.056625	345.922089	1400.000000	-0.400000	-0.400000	0.400000	17.305122	3.029583	-0.137322	1400.000000
1465249806.003077	1400.000000	1.927571	218.904312	345.429016	1400.000000	0.400000	0.400000	0.400000	15.877136	3.029947	-0.138033	1400.000000
1465249806.807016	1400.000000	1.920584	214.345322	345.483521	1400.000000	0.400000	-0.400000	0.400000	19.043369	3.030382	-0.138747	1400.000000
1465249807.542555	1400.000000	1.916245	220.605133	345.466095	1400.000000	-0.400000	-0.400000	0.400000	13.560369	3.029819	-0.139008	1400.000000
1465249808.218805	1400.000000	1.907760	229.079544	343.683105	1400.000000	0.400000	0.400000	0.400000	17.162279	3.029734	-0.139285	1400.000000
1465249809.001353	1400.000000	1.904680	223.211823	344.486023	1400.000000	-0.400000	-0.400000	0.400000	12.086396	3.030600	-0.139607	1400.000000
1465249809.548497	1400.000000	1.900004	228.804352	343.320648	1400.000000	-0.400000	-0.400000	0.400000	18.752857	3.030688	-0.139873	1400.000000
1465249810.497374	1400.000000	1.896328	227.090942	343.230194	1400.000000	0.400000	0.400000	0.400000	18.038595	3.029983	-0.139880	1400.000000
1465249811.828875	1400.000000	1.891817	215.840302	344.526093	1400.000000	-0.400000	-0.400000	0.400000	18.846262	3.030761	-0.140665	1400.000000
1465249812.909705	1400.000000	1.883608	215.281311	343.720337	1400.000000	0.400000	-0.400000	0.400000	18.105049	3.030492	-0.141589	1400.000000
1465249813.497210	1400.000000	1.876051	216.720215	344.936798	1400.000000	0.400000	0.400000	0.400000	17.400028	3.030435	-0.142084	1400.000000
1465249814.223810	1400.000000	1.874594	217.502808	344.545074	1400.000000	-0.400000	-0.400000	0.400000	17.570866	3.030495	-0.142239	1400.000000
1465249814.813480	1400.000000	1.871865	232.619629	342.404785	1400.000000	0.400000	-0.400000	0.400000	17.588005	3.030477	-0.142602	1400.000000
1465249815.388614	1400.000000	1.868389	220.345139	344.949493	1400.000000	-0.400000	-0.400000	0.400000	16.954332	3.030627	-0.142825	1400.000000
1465249816.123071	1400.000000	1.866149	225.192978	344.361542	1400.000000	-0.400000	-0.400000	0.400000	12.259529	3.030346	-0.142959	1400.000000
1465249816.739874	1400.000000	1.863012	215.298996	344.220337	1400.000000	0.400000	0.400000	0.400000	17.316561	3.030752	-0.143338	1400.000000
1465249817.531236	1400.000000	1.859500	219.527008	344.432068	1400.000000	-0.400000	0.400000	0.400000	13.333858	3.030576	-0.143682	1400.000000
1465249818.225307	1400.000000	1.858600	213.815872	343.446777	1400.000000	-0.400000	-0.400000	0.400000	18.507917	3.030707	-0.143887	1400.000000
1465249818.763288	1400.000000	1.856467	220.177200	345.261871	1400.000000	0.400000	-0.400000	0.400000	15.630770	3.030528	-0.144095	1400.000000
1465249819.344575	1400.000000	1.854721	226.149460	343.335358	1400.000000	0.400000	0.400000	0.400000	17.069757	3.030438	-0.144156	1400.000000
1465249819.897243	1400.000000	1.853323	212.215317	344.933563	1400.000000	0.400000	-0.400000	0.400000	18.622198	3.031736	-0.144580	1400.000000
1465249820.640812	1400.000000	1.851827	221.269119	345.002441	1400.000000	-0.400000	0.400000	0.400000	11.451304	3.029269	-0.143973	1400.000000
